District,State,Growth,Sex_Ratio,Literacy
Vaishali,Bihar,29,895,66.6
Nalgonda,Andhra Pradesh,7,983,64.2
Bahraich,Uttar Pradesh,46,892,49.36
Salem,Tamil Nadu,15,954,72.86
Saharanpur,Uttar Pradesh,20,890,70.49
Viluppuram,Tamil Nadu,17,987,71.88
Coimbatore,Tamil Nadu,19,1000,83.98
Meerut,Uttar Pradesh,15,886,72.84
Gonda,Uttar Pradesh,24,921,58.71
Sitamarhi,Bihar,28,899,52.05
Rae Bareli,Uttar Pradesh,19,943,67.25
Prakasam,Andhra Pradesh,11,981,63.08
Nanded,Maharashtra,17,943,75.45
Durg,Chhattisgarh,19,988,79.06
Siwan,Bihar,23,988,69.45
Nagaur,Rajasthan,19,950,62.8
Thiruvananthapuram,Kerala,2,1087,93.02
Ernakulam,Kerala,6,1027,95.89
Indore,Madhya Pradesh,33,928,80.87
Purnia,Bihar,28,921,51.08
Barabanki,Uttar Pradesh,22,910,61.75
Ballia,Uttar Pradesh,17,937,70.94
Pratapgarh,Uttar Pradesh,18,998,70.09
Thrissur,Kerala,5,1108,95.08
Banaskantha,Gujarat,25,938,65.32
Unnao,Uttar Pradesh,15,907,66.37
Deoria,Uttar Pradesh,14,1017,71.13
Kozhikode,Kerala,7,1098,95.08
Mumbai City,Maharashtra,-8,832,89.21
Tirunelveli,Tamil Nadu,13,1023,82.5
Katihar,Bihar,28,919,52.24
Udaipur,Rajasthan,24,958,61.82
Madurai,Tamil Nadu,18,990,83.45
Bhagalpur,Bihar,25,880,63.14
Medak,Andhra Pradesh,14,992,61.42
Uttar Dinajpur,West Bengal,23,939,59.07
Shahjahanpur,Uttar Pradesh,18,872,59.54
Satara,Maharashtra,7,988,82.87
Mysore,Karnataka,14,985,72.79
Begusarai,Bihar,26,895,63.87
Sri Potti Sriramulu Nellore,Andhra Pradesh,11,985,68.9
Rohtas,Bihar,21,918,73.37
Puruliya,West Bengal,16,957,64.48
Ranchi,Jharkhand,24,949,76.06
Amravati,Maharashtra,11,951,87.38
YSR,Andhra Pradesh,11,985,67.3
Bhavnagar,Gujarat,17,933,75.52
Nalanda,Bihar,21,922,64.43
Nagaon,Assam,22,962,72.37
Sangli,Maharashtra,9,966,81.48
Koch Bihar,West Bengal,14,942,74.78
Araria,Bihar,30,921,53.53
Palakkad,Kerala,7,1067,89.31
Khammam,Andhra Pradesh,8,1011,64.81
Yavatmal,Maharashtra,13,952,82.82
Junagadh,Gujarat,12,953,75.8
Adilabad,Andhra Pradesh,10,1001,61.01
South Delhi,Delhi,21,862,86.57
Bhojpur,Bihar,22,907,70.47
Tiruchirappalli,Tamil Nadu,13,1013,83.23
Srikakulam,Andhra Pradesh,7,1015,61.74
Maharajganj,Uttar Pradesh,24,943,62.76
Dhanbad,Jharkhand,12,909,74.52
Tumkur,Karnataka,4,984,75.14
Sikar,Rajasthan,17,947,71.91
Bilaspur,Chhattisgarh,33,971,70.78
Kollam,Kerala,2,1113,94.09
Raigarh,Maharashtra,19,959,83.14
Fatehpur,Uttar Pradesh,14,901,67.43
Cuttack,Orissa,12,940,85.5
Cuddalore,Tamil Nadu,14,987,78.04
Barmer,Rajasthan,33,902,56.53
Buldana,Maharashtra,16,934,83.4
Bid,Maharashtra,20,916,76.99
Ajmer,Rajasthan,18,951,69.33
Gulbarga,Karnataka,18,971,64.85
Gopalganj,Bihar,19,1021,65.47
Siddharth Nagar,Uttar Pradesh,25,976,59.25
Nizamabad,Andhra Pradesh,9,1040,61.25
Bharatpur,Rajasthan,21,880,70.11
Mathura,Uttar Pradesh,23,863,70.36
West Delhi,Delhi,19,875,86.98
Aurangabad,Bihar,26,926,70.32
Kannur,Kerala,5,1136,95.1
Mayurbhanj,Orissa,13,1006,63.17
Firozabad,Uttar Pradesh,22,875,71.92
Mirzapur,Uttar Pradesh,18,903,68.48
Amritsar,Punjab,15,889,76.27
Tiruppur,Tamil Nadu,29,989,78.68
Faizabad,Uttar Pradesh,18,962,68.73
Tiruvannamalai,Tamil Nadu,13,994,74.21
Basti,Uttar Pradesh,18,963,67.22
Jabalpur,Madhya Pradesh,15,929,81.07
Latur,Maharashtra,18,928,77.26
Bellary,Karnataka,21,983,67.43
Giridih,Jharkhand,28,944,63.14
Sabarkantha,Gujarat,17,952,75.79
Bhilwara,Rajasthan,20,973,61.37
Thanjavur,Tamil Nadu,9,1035,82.64
Ambedkar Nagar,Uttar Pradesh,18,978,72.23
PanchMahal,Gujarat,18,949,70.99
Sagar,Madhya Pradesh,18,893,76.46
Bhopal,Madhya Pradesh,29,918,80.37
Rewa,Madhya Pradesh,20,931,71.62
Bikaner,Rajasthan,41,905,65.13
Surguja,Chhattisgarh,20,978,60.01
Vizianagaram,Andhra Pradesh,4,1019,58.89
Rampur,Uttar Pradesh,21,909,53.34
Baleshwar,Orissa,15,957,79.79
Kheda,Gujarat,14,940,82.65
Gurdaspur,Punjab,9,895,79.95
Purbi Singhbhum,Jharkhand,16,949,75.49
South West Delhi,Delhi,31,840,88.28
Erode,Tamil Nadu,12,993,72.58
Khordha,Orissa,20,929,86.88
North East Delhi,Delhi,27,886,83.09
Supaul,Bihar,29,929,57.67
Satna,Madhya Pradesh,19,926,72.26
Nawada,Bihar,23,939,59.76
Mau,Uttar Pradesh,19,979,73.09
Chandrapur,Maharashtra,6,961,80.01
Jalandhar,Punjab,12,915,82.48
Dhar,Madhya Pradesh,26,964,59
Bijapur,Karnataka,21,960,67.15
Jamnagar,Gujarat,13,939,73.65
Dindigul,Tamil Nadu,12,998,76.26
Balrampur,Uttar Pradesh,28,928,49.51
Jhunjhunun,Rajasthan,12,950,74.13
Alappuzha,Kerala,1,1100,95.72
Dohad,Gujarat,30,990,58.82
Sundargarh,Orissa,14,973,73.34
Anand,Gujarat,13,925,84.37
Kachchh,Gujarat,32,908,70.59
Chhindwara,Madhya Pradesh,13,964,71.16
Dakshina Kannada,Karnataka,10,1020,88.57
Bokaro,Jharkhand,16,922,72.01
Dhule,Maharashtra,20,946,72.8
Churu,Rajasthan,6,940,66.75
Pali,Rajasthan,12,987,62.39
Mahesana,Gujarat,11,926,83.61
Banka,Bihar,26,907,58.17
Gwalior,Madhya Pradesh,25,864,76.65
Pilibhit,Uttar Pradesh,23,895,61.47
Firozpur,Punjab,16,893,68.92
Madhepura,Bihar,31,911,52.25
Jhansi,Uttar Pradesh,15,890,75.05
Ujjain,Madhya Pradesh,16,955,72.34
Kottayam,Kerala,1,1039,97.21
Ganganagar,Rajasthan,10,887,69.64
Morena,Madhya Pradesh,23,840,71.03
Jalna,Maharashtra,21,937,71.52
Chandauli,Uttar Pradesh,19,918,71.48
Kota,Rajasthan,24,911,76.56
Dhubri,Assam,24,953,58.34
Davanagere,Karnataka,9,972,75.74
Virudhunagar,Tamil Nadu,11,1007,80.15
Palamu,Jharkhand,26,928,63.63
Raichur,Karnataka,16,1000,59.56
Sonitpur,Assam,16,956,67.34
Saharsa,Bihar,26,906,53.2
Patiala,Punjab,20,891,75.28
Haridwar,Uttarakhand,31,880,73.43
Bagalkot,Karnataka,14,989,68.82
Farrukhabad,Uttar Pradesh,20,874,69.04
Krishnagiri,Tamil Nadu,20,958,71.46
West Nimar,Madhya Pradesh,23,965,62.7
Kanniyakumari,Tamil Nadu,12,1019,91.75
Mainpuri,Uttar Pradesh,17,881,75.99
Sonbhadra,Uttar Pradesh,27,918,64.03
Dharwad,Karnataka,15,971,80
Darjiling,West Bengal,15,970,79.56
Jyotiba Phule Nagar,Uttar Pradesh,23,910,63.84
Parbhani,Maharashtra,20,947,73.34
Jalor,Rajasthan,26,952,54.86
Jajapur,Orissa,12,973,80.13
Akola,Maharashtra,11,946,88.05
Faridabad,Haryana,33,873,81.7
Mandya,Karnataka,2,995,70.4
